src,dst,time_s_2018,distance_km_2018,year,time_s_2025,distance_km_2025,delta_time_s,delta_distance_km,pct_time,pct_distance
4,41,1215,17.264,2018,1232,16.611,17,-0.6529999999999987,1.3991769547325104,-3.7824374420759885
4,42,883,11.664,2018,771,11.18,-112,-0.484,-12.684031710079275,-4.149519890260631
4,43,2321,42.982,2018,2307,40.743,-14,-2.238999999999997,-0.6031882809133994,-5.2091573216695295
4,44,1501,23.245,2018,1556,25.815,55,2.5700000000000003,3.664223850766156,11.056141105614111
4,45,1457,22.741,2018,1548,25.037,91,2.2959999999999994,6.2457103637611535,10.096301833692447
4,46,528,6.562,2018,566,8.013,38,1.4509999999999996,7.196969696969697,22.11216092654678
4,47,1680,26.058,2018,1550,25.447,-130,-0.6110000000000007,-7.738095238095238,-2.3447693606569984
4,48,1395,22.336,2018,1584,25.131,189,2.7950000000000017,13.548387096774196,12.513431232091698
4,49,2307,36.054,2018,2147,35.622,-160,-0.43200000000000216,-6.9354139575205895,-1.1982026959560719
4,50,1711,25.904,2018,1771,27.962,60,2.058,3.5067212156633545,7.944718962322421
5,1,916,16.115,2018,1094,15.863,178,-0.2519999999999989,19.432314410480352,-1.5637604716102944
5,2,1809,33.807,2018,1813,33.957,4,0.14999999999999858,0.22111663902708678,0.44369509273227015
5,3,446,7.262,2018,888,7.488,442,0.22600000000000087,99.10313901345292,3.1120903332415435
5,4,1900,35.491,2018,2039,36.54,139,1.0489999999999995,7.315789473684211,2.9556789045110015
5,5,0,0.0,2018,0,0.0,0,0.0,,
5,6,1908,33.973,2018,2367,38.326,459,4.3530000000000015,24.056603773584907,12.81311629823684
5,7,703,12.326,2018,756,12.204,53,-0.12199999999999989,7.539118065433854,-0.9897777056628256
5,8,1787,32.595,2018,1978,35.723,191,3.128,10.688304420817012,9.596563890167205
5,9,1779,33.367,2018,1806,33.262,27,-0.10499999999999687,1.5177065767284992,-0.3146821710072733
5,10,752,12.15,2018,729,12.073,-23,-0.07699999999999996,-3.0585106382978724,-0.6337448559670779
5,11,906,14.237,2018,867,14.109,-39,-0.1280000000000001,-4.304635761589404,-0.8990658144271975
5,12,1196,24.54,2018,1323,24.481,127,-0.0589999999999975,10.618729096989966,-0.2404237978810004
5,13,264,3.63,2018,263,3.672,-1,0.04200000000000026,-0.3787878787878788,1.157024793388437
5,14,1548,24.945,2018,1457,24.979,-91,0.03399999999999892,-5.8785529715762275,0.13629985969131658
5,15,2210,39.069,2018,2393,41.295,183,2.225999999999999,8.280542986425338,5.697611917376945
5,16,1556,26.247,2018,1906,33.451,350,7.204000000000001,22.493573264781492,27.446946317674403
5,17,2065,39.215,2018,2119,37.807,54,-1.4080000000000013,2.6150121065375305,-3.5904628330995823
5,18,963,15.337,2018,989,15.184,26,-0.15300000000000047,2.699896157840083,-0.9975875334159253
5,19,1362,23.892,2018,1464,24.546,102,0.6539999999999999,7.488986784140969,2.7373179306880964
5,20,1349,25.175,2018,1495,25.094,146,-0.08099999999999952,10.822831727205337,-0.32174776564051444
5,21,1633,30.263,2018,1871,33.168,238,2.9049999999999976,14.574402939375384,9.59918051746356
5,22,950,17.921,2018,837,13.036,-113,-4.885,-11.894736842105264,-27.25852351989286
5,23,2255,33.726,2018,2430,40.46,175,6.734000000000002,7.760532150776053,19.96679119966792
5,24,347,4.604,2018,349,4.552,2,-0.05200000000000049,0.5763688760806917,-1.1294526498696893
5,25,1904,36.811,2018,2125,38.379,221,1.5679999999999978,11.607142857142858,4.259596316318486
5,26,689,11.329,2018,835,13.394,146,2.0649999999999995,21.190130624092888,18.227557595551236
5,27,1949,37.567,2018,2085,37.125,136,-0.44200000000000017,6.977937403796819,-1.176564538025395
