src,dst,time_s,distance_km,year
19,24,475,4.848,2018
19,25,1026,15.18,2018
19,26,667,8.854,2018
19,27,531,6.684,2018
19,28,731,9.468,2018
19,29,829,10.682,2018
19,30,572,6.553,2018
19,31,464,5.508,2018
19,32,1068,15.686,2018
19,33,506,6.119,2018
19,34,514,6.157,2018
19,35,650,6.989,2018
19,36,609,7.412,2018
19,37,448,5.009,2018
19,38,462,4.671,2018
19,39,638,8.724,2018
19,40,693,8.562,2018
19,41,860,11.272,2018
19,42,573,6.801,2018
19,43,735,9.385,2018
19,44,739,9.39,2018
19,45,2128,14.765,2018
19,46,633,8.128,2018
19,47,674,8.681,2018
19,48,927,13.759,2018
19,49,496,4.857,2018
19,50,342,3.898,2018
20,1,485,7.035,2018
20,2,127,1.534,2018
20,3,634,8.266,2018
20,4,437,5.777,2018
20,5,263,3.439,2018
20,6,487,6.901,2018
20,7,158,2.125,2018
20,8,303,4.344,2018
20,9,457,6.406,2018
20,10,651,8.453,2018
20,11,191,2.13,2018
20,12,448,5.718,2018
20,13,192,2.645,2018
20,14,654,9.633,2018
20,15,653,10.455,2018
20,16,420,5.537,2018
20,17,712,9.135,2018
20,18,445,5.763,2018
20,19,464,5.593,2018
20,20,0,0.0,2018
20,21,155,1.727,2018
20,22,142,1.674,2018
20,23,291,3.467,2018
20,24,199,2.444,2018
20,25,696,10.757,2018
20,26,386,5.553,2018
20,27,138,1.796,2018
20,28,491,6.59,2018
20,29,549,7.381,2018
20,30,278,3.695,2018
20,31,106,0.91,2018
20,32,738,11.263,2018
20,33,390,5.149,2018
20,34,360,4.052,2018
20,35,448,6.452,2018
20,36,63,0.631,2018
20,37,251,3.027,2018
20,38,197,2.364,2018
20,39,398,5.846,2018
20,40,248,3.208,2018
20,41,490,6.583,2018
20,42,408,5.085,2018
20,43,364,4.695,2018
20,44,499,6.512,2018
20,45,1758,10.076,2018
20,46,352,4.827,2018
20,47,303,3.991,2018
20,48,646,10.458,2018
20,49,413,5.395,2018
20,50,211,2.901,2018
21,1,563,7.76,2018
21,2,205,2.259,2018
21,3,753,9.709,2018
21,4,556,7.22,2018
21,5,341,4.164,2018
21,6,513,6.848,2018
21,7,137,1.193,2018
21,8,422,5.787,2018
21,9,576,7.849,2018
21,10,770,9.896,2018
21,11,269,2.855,2018
21,12,566,7.161,2018
21,13,171,1.713,2018
21,14,772,11.076,2018
21,15,720,10.468,2018
21,16,478,6.07,2018
21,17,831,10.578,2018
21,18,563,7.206,2018
21,19,583,7.036,2018
21,20,157,1.688,2018
21,21,0,0.0,2018
21,22,67,0.55,2018
21,23,410,4.91,2018
21,24,306,3.523,2018
21,25,733,10.736,2018
21,26,478,6.36,2018
21,27,203,2.324,2018
21,28,609,8.033,2018
21,29,624,7.878,2018
21,30,279,2.885,2018
21,31,248,2.891,2018
21,32,775,11.242,2018
21,33,509,6.592,2018
21,34,479,5.495,2018
21,35,567,7.895,2018
21,36,188,1.908,2018
21,37,370,4.47,2018
21,38,298,3.331,2018
21,39,517,7.289,2018
21,40,227,2.276,2018
21,41,534,6.56,2018
21,42,527,6.528,2018
21,43,278,3.294,2018
21,44,618,7.955,2018
21,45,1745,8.847,2018
21,46,471,6.27,2018
21,47,264,3.127,2018
21,48,714,10.471,2018
21,49,532,6.838,2018
21,50,330,4.344,2018
22,1,568,8.184,2018
22,2,210,2.683,2018
22,3,769,10.135,2018
22,4,572,7.644,2018
22,5,346,4.588,2018
22,6,443,5.998,2018
22,7,144,1.761,2018
22,8,437,6.211,2018
22,9,591,8.273,2018
22,10,785,10.32,2018
22,11,274,3.279,2018
22,12,582,7.585,2018
22,13,207,2.128,2018
22,14,788,11.5,2018
22,15,650,9.618,2018
22,16,474,6.201,2018
22,17,847,11.002,2018
22,18,579,7.63,2018
22,19,598,7.46,2018
22,20,153,1.819,2018
